Local Authority, Total Area of Greenspace (ha),Area of publicly accessible greenspace (ha),Greenspace as percentage of urban area (%),Publicly accessible greenspace as percentage of urban area (%),Area of greenspace per 1000 people (ha),Area of publicly accessible greenspace per 1000 people (ha)
Aberdeen City,6338,4600,54,39,29,21
Aberdeenshire,5858,4239,42,31,47,34
Angus,3536,2603,46,34,42,31
Argyll and Bute,3768,3050,67,54,88,71
City of Edinburgh,8997,6041,55,37,19,13
Clackmannanshire,2124,1679,49,39,48,38
Dumfries and Galloway,4323,3180,43,32,53,39
Dundee City,3478,2320,62,41,24,16
East Ayrshire,3171,2230,42,29,37,26
East Dunbartonshire,3880,2628,59,40,39,26
East Lothian,3242,2602,58,46,43,35
East Renfrewshire,2569,1538,53,32,29,18
Falkirk,6463,5035,57,44,45,35
Fife,12101,9081,50,37,41,30
Glasgow City,9647,6709,58,40,16,11
Highland,9032,7430,58,47,77,63
Inverclyde,3126,2439,60,46,40,31
Midlothian,2946,2223,52,39,42,31
Moray,2572,1932,51,38,48,36
Na h-Eileanan an Iar,1691,1496,79,70,227,201
North Ayrshire,5699,4443,55,43,46,36
North Lanarkshire,12995,10248,64,50,42,33
Orkney Islands,342,213,35,22,48,30
Perth and Kinross,4009,2903,48,35,50,36
Renfrewshire,5886,4416,55,41,35,27
Scottish Borders,3900,3189,53,43,65,53
Shetland Islands,880,795,71,64,125,113
South Ayrshire,3552,2473,55,38,40,28
South Lanarkshire,9421,6733,53,38,34,24
Stirling,3205,2479,52,40,53,41
West Dunbartonshire,3343,2654,61,48,37,30
West Lothian,7178,5697,54,43,45,36
